reaction	linear_coefficient
rxn24212	0.028875565887678943
rxn09400a	0.0482075125412945
rxnTABCcpdBGLCN	0.010767160161507403
rxn13784	0.0023247277621436437
rxnBIOMASS	0.005261225988009299
rxn05294	0.005383580080753701
rxn12192	0.001223540927444023
rxn00416p	0.017863697540682736
rxn00011b	0.02814144133121253
rxn03194	0.02814144133121253
rxn02185	0.02814144133121253
rxn00737	0.1273706105469228
rxn00903	0.028997919980423344
rxn01575	0.028997919980423344
rxn00806	0.028997919980423344
rxn00898	0.018964884375382355
rxn03437	0.018964884375382355
rxn00902	0.012602471552673437
rxn03068	0.0373179982870427
rxn01790	0.021656674415759206
rxn03435	0.0373179982870427
rxn02187	0.0373179982870427
rxn03436	0.0373179982870427
rxn02811	0.01761898935519393
rxn02789	0.01761898935519393
rxn03062	0.021656674415759206
rxnCL4	0.13569068885354216
rxnCARN2	1.0
rxn01725	1.0
rxnCARN1	0.13165300379297687
rxn00011p	0.0034259145968432644
rxn02342	0.0034259145968432644
rxn00159	0.04906399119050532
rxn00161	0.7803744035237978
rxn00247	0.00954361923406338
rxn00250	0.01859782209714915
rxn00330	0.04233451608956319
rxn00336	0.2859415147436682
rxn00747	0.06276764957787838
rxn00784	0.030099106815122966
rxn01123	0.0373179982870427
rxn01241a	0.012480117459929035
rxn06493	0.0035482686895876667
rxn01871	0.009176556955830173
rxn01265	0.031077939557078185
rxn02287	0.04160039153309678
rxn02775	0.2859415147436682
rxn02897	0.1273706105469228
rxn03537	0.1273706105469228
rxn03150	0.03609445735959868
rxn04385	0.03609445735959868
rxn03491	0.10889514254251804
rxn03492	1.0
rxn03512	1.0
rxn03513	0.0482075125412945
rxn03514	0.04306864064602961
rxn03534	1.0
rxn03538	1.0
rxn03540	0.3775847302092255
rxn03975	0.03805212284350912
rxn04384	0.05004282393246054
rxn10476	0.005138871895264897
rxn11544	0.06178881683592316
rxn11545	1.0
rxn25134b	0.138382478893919
rxn47890	0.14217545576899548
rxn00056	0.010277743790529793
rxn00719	0.008075370121130552
rxn01028	0.01541661568579469
rxn07582	0.017741343447938332
rxnLIPOCT	0.013703658387373058
rxn00423	0.007585953750152943
rxn00566	0.03523797871038786
rxn00623	0.018475468004404746
rxn00649	0.025694359476324483
rxn05256	1.0
rxn05239	1.0
rxn05239b	1.0
rxn00137	0.015171907500305885
rxn00361	0.08772788449773646
rxn00379	0.08772788449773646
rxn09240	0.08772788449773646
rxn00650	0.03144500183531139
rxn00020s	0.04967576165422733
rxn00020	0.04967576165422733
rxn21111	0.04967576165422733
rxn00020a	0.04967576165422733
rxn09979	0.04967576165422733
rxn00020m	0.138382478893919
rxn00022t	0.04172274562584118
rxn00575	0.04172274562584118
rxn00022	0.04172274562584118
rxn05746	0.04172274562584118
rxn44900	0.0740242261103634
rxn00816b	0.0740242261103634
rxn00816c	0.0740242261103634
rxn00816	0.0740242261103634
rxn44030	0.0740242261103634
rxn02596	0.28068028875565887
rxn00817	0.28068028875565887
rxn00818	0.28068028875565887
rxn01134	1.0
rxn01737	0.0316897100208002
rxnTRE1	0.09090909090909091
rxnLACT1	0.09090909090909091
rxnPAL1	0.09090909090909091
rxn01119	1.0
rxnEPS	0.008320078306619356
rxnTABCcpsEPS	0.005750642358986908
rxnFAD1	0.016273094335005504
rxnFAD13	0.016273094335005504
rxnFAD17	0.016273094335005504
rxn00872	0.016273094335005504
rxnFAD21	0.016273094335005504
rxnFAD5	0.016273094335005504
rxnFAD9	0.016273094335005504
rxn00947	0.033280313226477426
rxn02934	0.06607121008197724
rxn03241	0.0904196745381133
rxn03250	0.0904196745381133
rxn03240	0.0904196745381133
rxn02949	0.06607121008197724
rxn03245	0.0904196745381133
rxn02167	0.0904196745381133
rxn02911	0.0904196745381133
rxn03247	0.0904196745381133
rxn01504	0.09090909090909091
rxn00672	0.0904196745381133
rxnFAD15	0.01492719931481708
rxnFAD11	0.01492719931481708
rxnFAD27	0.01492719931481708
rxnFAD19	0.01492719931481708
rxnFAD23	0.01492719931481708
rxnFAD7	0.01492719931481708
rxnFAD3	0.01492719931481708
rxnFAD4	0.005628288266242506
rxnFAD12	0.005628288266242506
rxnFAD16	0.005628288266242506
rxnFAD20	0.005628288266242506
rxnFAD24	0.005628288266242506
rxnFAD8	0.005628288266242506
rxn00676	0.005628288266242506
rxn03421	0.005995350544475713
rxn03174	0.005995350544475713
rxn03419	0.005995350544475713
rxn00302	0.005995350544475713
rxn01013	0.046616909335617275
rxn00324	0.6485990456380766
rxn01011	0.046616909335617275
rxn00333	0.044903952037195646
rxn01602	0.052367551694604185
rxn00686	0.052367551694604185
rxn00690	1.0
rxn00907	0.08320078306619356
rxn01211b	0.08320078306619356
rxn01211	0.08320078306619356
rxn00907b	0.08320078306619356
rxn00910	0.0214119662302704
rxn01257b	1.0
rxn01603	0.04233451608956319
rxn02201	0.05077694848892696
rxn02503	0.03279089685549982
rxn02504	0.27309433500550595
rxn03841	0.028508503609445734
rxn00083	0.017986051633427137
rxn00371	0.021534320323014805
rxn02617	0.0373179982870427
rxn14044	0.029732044536889757
rxn22386	0.03609445735959868
rxn40431	0.8327419552184021
rxn40432	0.026917900403768506
rxn00508	0.0018353113911660345
rxn01204	0.0009788327419552184
rxn00783	0.1712957298421632
rxn00812	0.019943717117337573
rxn02174	0.025694359476324483
rxn02429	0.13140829560748807
rxn00605	0.10889514254251804
rxn02004	0.9450630123577634
rxn00186	1.0
