reaction	linear_coefficient
rxn00672	0.2619047619047619
rxnFAD11	0.11534391534920635
rxnFAD27	0.11534391534920635
rxnFAD19	0.11534391534920635
rxnFAD7	0.11534391534920635
rxnFAD15	0.11534391534920635
rxnFAD3	0.11534391534920635
rxnFAD23	0.11534391534920635
rxnFAD4	0.12222222222222222
rxn00676	0.023809523809523808
rxnFAD24	0.12222222222222222
rxnFAD8	0.12222222222222222
rxnFAD16	0.12222222222222222
rxnFAD20	0.12222222222222222
rxnFAD12	0.12222222222222222
rxn00302	0.032275132269841265
rxn03421	0.032275132269841265
rxn03174	0.032275132269841265
rxn03419	0.032275132269841265
rxn01013	0.06878306877777778
rxn01011	0.06878306877777778
rxn00324	0.7640211639682539
rxn00333	0.32328042333333334
rxn00686	0.7640211639682539
rxn01602	0.7640211639682539
rxn00690	1.0
rxn01211	0.1455026455079365
rxn00907	0.1455026455079365
rxn00907b	0.1455026455079365
rxn01211b	0.1455026455079365
rxn00910	0.0582010582063492
rxn01257b	0.7640211639682539
rxn01603	0.10317460317460317
rxn02201	0.18994708999999999
rxn02503	0.4354497353968254
rxn02504	0.1037037036984127
rxn03841	0.13968253968253969
rxn00083	0.11164021163492063
rxn00371	0.014814814814285716
rxn02617	1.0
rxn14044	0.22328042333333334
rxn22386	0.08888888888888889
rxn40431	1.0
rxn40432	0.091005291
rxn00508	0.1
rxn01204	0.4354497353968254
rxn00783	1.0
rxn00812	0.10846560846031747
rxn02174	0.06931216931746031
rxn02429	1.0
rxn00605	0.2015873015873016
rxn02004	0.02910052909523809
rxn00186	1.0
rxn00189	1.0
rxn00193	1.0
rxn05951	0.09047619047619047
rxn05036	0.045502645507936514
rxn00527	0.045502645507936514
rxn02339	0.09047619047619047
rxn00085	0.09576719576190476
rxn00187	0.007407407407936507
rxn00086	0.1349206349206349
rxn00350	0.08571428571428572
rxn00351	0.10582010582539682
rxn00646	0.12222222222222222
rxn00615	1.0
rxn00616	0.32910052904761905
rxn00420	1.0
rxn00692	0.07407407407936507
rxn01101	0.10582010582539682
rxn03445	0.1037037036984127
rxn02914	0.1037037036984127
rxn01868	0.20582010587301589
rxn01867	0.20582010587301589
rxn10770	1.0
rxn00165	0.14603174603174604
rxn00274	0.4354497353968254
rxn00422	1.0
rxn00541	1.0
rxn00908	0.08095238095238096
rxn06377	0.08095238095238096
rxn01068	0.10846560846031747
rxn01069	1.0
rxn01300	1.0
rxn01301	0.06825396825396825
rxn01833	1.0
rxn01241b	0.11375661376190475
rxn01241c	0.06666666666666667
rxn06600	0.07354497353968255
rxn08647	0.3111111111111111
rxn00695	0.046560846555555556
rxn05740	0.09047619047619047
rxn08615	0.091005291
rxn00148	0.06560846560317461
rxn00459	0.07830687830158731
rxn00558	0.2619047619047619
rxn00781	0.03862433861904762
rxn01331	0.03862433861904762
rxn00786	0.01746031746031746
rxn01100	0.3111111111111111
rxn01106	0.07989417988888889
rxn01053	0.6582010582539682
rxn00979	0.6582010582539682
rxn01621	0.6582010582539682
rxn01015	1.0
rxn00029	1.0
rxn00060	0.437037036984127
rxn00224	0.2015873015873016
rxn00599	0.04074074074603175
rxn02264	1.0
rxn02303	0.7698412698412699
rxn02304	0.31640211634920634
rxn05120	0.07301587301587302
rxn00058	0.03915343915873016
rxn12825	0.7211640211111111
rxn00375	1.0
rxn00867	0.437037036984127
rxn01640	1.0
rxn01642	1.0
rxn02085	0.5513227512698412
rxn00770	0.08095238095238096
rxn00789	0.02804232804761905
rxn00863	0.1349206349206349
rxn02159	0.1349206349206349
rxn02160	0.2084656084126984
rxn00493	0.10052910052380953
rxn02320	0.10052910052380953
rxn02473	0.1619047619047619
rxn02834	0.06666666666666667
rxn02835	0.03015873015873016
rxn03135	0.18201058206349205
rxn03175	0.25449735444444443
rxn00196	0.6582010582539682
rxn02360	0.6582010582539682
rxn00933	0.6582010582539682
rxn02933	0.05026455026984127
rxn06586	0.08941798941269842
rxn01925	0.08941798941269842
rxn06335	0.08941798941269842
rxn07431	0.05873015873015873
rxn07432	0.05873015873015873
rxn07433	0.05873015873015873
rxn07435	0.05873015873015873
rxn07434	0.05873015873015873
rxn07430	0.05873015873015873
rxn00991	0.7698412698412699
rxn00265	0.7698412698412699
rxn02889	0.12010582011111111
rxn00612	0.5513227512698412
rxn00642	0.11587301587301588
rxn03130	0.17037037031746033
rxn03146	0.027513227507936507
rxn03159	0.437037036984127
rxn03181	1.0
rxn03439	0.3111111111111111
rxn03182	0.3111111111111111
rxn03962	0.17142857142857143
rxn06723	0.11746031746031746
rxn06729	0.22328042333333334
rxnLPS1	0.19629629634920634
rxnLPS2	0.18201058206349205
rxnPG22	0.18201058206349205
rxnLPS3	1.0
rxnLPS4	0.04814814814285714
rxnLPS5	0.28783068777777776
rxn02000	1.0
rxnLPS6	1.0
rxnLPS7	0.15396825396825398
rxnLPS8	0.20582010587301589
rxnVLCFA52	1.0
source_cpdLPS2	0.13386243385714286
rxn00313	0.16560846555555556
rxn00337	0.1037037036984127
rxn01643	0.045502645507936514
rxn01644	0.11058201058730159
rxn01973	0.19629629634920634
rxn01974	0.02857142857142857
rxn02929	0.33862433857142854
rxn03031	0.11534391534920635
rxn00693	0.13386243385714286
rxn01304	1.0
rxn05957	0.12222222222222222
