reaction	linear_coefficient
rxn02094	0.0816508844023584
rxnPSIC	0.4270144720385921
rxnTAG1	0.17160979095944257
rxn00501	0.018045381454350546
rxn00671	0.018045381454350546
rxn00879	0.022244059317491512
rxn03932	0.026800071466857246
rxn01176	0.026800071466857246
rxn02007	0.14114704305878148
rxn12146	0.01983205288547436
rxn12147	0.019117384313024836
rxn00077	0.08406289083437556
rxn00138	0.01527604073610863
rxn00338	0.08218688583169555
rxn02155	0.07611220296587458
rxn02402	0.023405395747721994
rxn02988	0.005092013578702877
rxn00568	1.0
rxn10120	0.007504020010720028
rxn10121	0.14114704305878148
rxn05937	0.0026800071466857246
rxn06874	0.0006253350008933357
rxnNifS	0.007325352867607647
rxnNifU	0.002501340003573343
rxnVLCFA1	0.00437734500625335
rxn05465	0.0015186707164552438
rxnNFBS1	0.003573342862247633
rxn05329	0.008129355011613364
rxn05462	0.00652135072360193
rxnNFBS7	0.0066106842951581205
rxnNFBS4	0.0066106842951581205
rxn05330	0.00652135072360193
rxnUS11	0.008129355011613364
rxn05333	0.00652135072360193
rxnNFBS10	0.0066106842951581205
rxn05334	0.00652135072360193
rxnUS3	0.008129355011613364
rxnUS7	0.008129355011613364
rxnUS15	0.008129355011613364
rxn05335	0.00652135072360193
rxn05332	0.00652135072360193
rxn05331	0.00652135072360193
rxnVLCFA20	0.0066106842951581205
rxnVLCFA24	0.0066106842951581205
rxnVLCFA4	0.0066106842951581205
rxnVLCFA16	0.0066106842951581205
rxnVLCFA48	0.0066106842951581205
rxnVLCFA12	0.0066106842951581205
rxnVLCFA40	0.0066106842951581205
rxnVLCFA8	0.0066106842951581205
rxnVLCFA32	0.0066106842951581205
rxnVLCFA28	0.0066106842951581205
rxnVLCFA44	0.0066106842951581205
rxnVLCFA36	0.0066106842951581205
rxnNFBS11	0.01992138645703055
rxn00777	0.007593353582276219
rxnEry4	0.007593353582276219
rxnNFBS13	0.011524030730748615
rxnNFBS12	0.011524030730748615
rxnNFBS14	0.010452027872074325
rxnNFBS15	0.007950687868500983
rxnNFBS16	0.0165267107378953
rxnNFBS2	0.008129355011613364
rxnNFBS5	0.008129355011613364
rxnNFBS8	0.008129355011613364
rxnNFBS9	0.01992138645703055
rxnNFBS6	0.01992138645703055
rxnNFBS3	0.01992138645703055
rxn05337	0.04502412006432017
rxn05340	0.04502412006432017
rxnUS2	0.04502412006432017
rxn05339	0.04502412006432017
rxn05341	0.04502412006432017
rxnUS10	0.04502412006432017
rxn05336	0.04502412006432017
